-310.0844330948, 2.2976470039, 29.0676203194, 8.4586348213
-242.7936307361, -91.8397290370, 30.0520690548, 8.4655879478
-235.5921960751, 9.9120913139, 31.0537179007, 8.4565404754
-212.2422745759, -2.4449295528, 32.0223062113, 8.4599864198
-207.6142701775, -1.9871457727, 32.9543680097, 8.4542842351
-208.5530380462, 3.5225047993, 34.0010540262, 8.4449875110
-214.0167380699, -5.0584533147, 35.0601985961, 8.4550293171
-208.5817498797, -0.6994776158, 36.0123473195, 8.4612974703
-200.9234257952, -0.6692582921, 36.9750563620, 8.4684340252
-201.9489046258, 0.2068522955, 37.9858533406, 8.4658241412
-203.5867272154, -0.0082803971, 38.9924511916, 8.4635811336
-200.7510231604, 0.1137847174, 39.9768737097, 8.4688640638
-200.8402960164, -0.0368114035, 40.8543112399, 8.4672933309
-203.9825166752, -0.0159631230, 41.8189246164, 8.4610327766
-204.3509488579, -0.0421266403, 42.7452917211, 8.4594291577
-204.1251610551, -0.0097419598, 43.6840770458, 8.4591435381
-202.2388739786, -0.0473852057, 44.6494523587, 8.4623921937
-203.8081207217, -0.0131120616, 45.5758933183, 8.4584682219
-207.0625605474, -0.0156782267, 46.4631955518, 8.4509690058
-204.6304863786, -0.0429352336, 47.3044500545, 8.4543936452
-201.7886815279, -0.0004193585, 48.2600645565, 8.4597367038
-198.9381642699, -0.0055096666, 49.2221139932, 8.4652001532
-199.9352568075, 0.0000271034, 50.2078923558, 8.4630599918
-200.9397071338, -0.0040900360, 51.2081324453, 8.4609631133
-198.8699360513, 0.0025406959, 52.1937579399, 8.4651255559
-199.2607376763, -0.0512642156, 52.9892585917, 8.4631578833
-201.6321694786, 0.0099486696, 53.9079681599, 8.4576903006
-202.1085033138, -0.0175026628, 54.7825987495, 8.4560215815
-202.0742010265, -0.0391494999, 55.6615444723, 8.4554249941
-200.6464298071, -0.0305682994, 56.6075892493, 8.4580571025
-201.8590845478, -0.0105293368, 57.4651996087, 8.4546041071
-204.4187702912, -0.0325104146, 58.2534627268, 8.4480708449
-202.6881381428, -0.0212803028, 59.0058574515, 8.4505628520
-200.5371250063, -0.0039905350, 59.9460889379, 8.4549549912
-198.3678091503, -0.0091128720, 60.8976328436, 8.4594716288
-199.1731257820, -0.0139560991, 61.8703571723, 8.4575430009
-199.9840010358, -0.0033779820, 62.8654819447, 8.4556451601
-198.3743875955, 0.0026461639, 63.8513098947, 8.4591022397
-198.7616691458, -0.0605874779, 64.5548594299, 8.4571904632
-200.6921460363, 0.0102856463, 65.4311580018, 8.4523602353
-201.1763126946, -0.0161821332, 66.2532855262, 8.4506803123
-201.2413166538, -0.0422823766, 67.0888142241, 8.4499273258
-200.0611400470, -0.0290021868, 68.0216108654, 8.4521841074
-201.0621593893, -0.0140048595, 68.8239501774, 8.4491489281
-203.1785763811, -0.0450098942, 69.5357572319, 8.4433789062
-201.8463470444, -0.0150063639, 70.2142901287, 8.4452108828
-200.0893441811, -0.0085446146, 71.1425388004, 8.4489670456
-198.3106069441, -0.0177405738, 72.0852773796, 8.4528338186
-198.9842909486, -0.0140896041, 73.0486139076, 8.4510967431
-199.6720326703, 0.0032195433, 74.0401563942, 8.4493846771
-198.3446276615, -0.0041199147, 75.0259034304, 8.4523560143
-198.7432035320, -0.0453216869, 75.6643177593, 8.4504850052
-200.3601461619, -0.0148476112, 76.5070041140, 8.4462243372
-200.8566061183, -0.0306555880, 77.2938939491, 8.4444921357
-200.9557237908, -0.0528956134, 78.0979837096, 8.4435818433
-199.9138889947, -0.0090775171, 79.0219570300, 8.4455663137
-200.7676598734, -0.0147690466, 79.7872808506, 8.4429645706
-202.6069615454, -0.0341609653, 80.4532872885, 8.4377786057
-201.5434922096, -0.0183013975, 81.0880497774, 8.4392459456
-200.0515864751, -0.0192192695, 82.0082487970, 8.4425333381
-198.5254329334, -0.0262919641, 82.9454933259, 8.4459194622
-199.0923663750, -0.0136938781, 83.9015557878, 8.4443483974
-199.6967373608, 0.0072905350, 84.8905574566, 8.4428021670
-198.5540645007, -0.0100098680, 85.8765573592, 8.4454162610
-198.9701877121, -0.0311415800, 86.4710740210, 8.4436011156
-200.3736745715, -0.0234844838, 87.2935230989, 8.4398406047
-200.8720377567, -0.0501579123, 88.0564214899, 8.4380888520
-200.9871802687, -0.0592004083, 88.8394681436, 8.4370165837
-200.0482846257, 0.0018605230, 89.7592909963, 8.4388145086
-200.7849602531, -0.0383111471, 90.4963762393, 8.4366553692
-202.4319928943, -0.0142437479, 91.1258611538, 8.4317510377
-201.5356784365, -0.0237827818, 91.7282300698, 8.4331445674
-200.2283387965, -0.0214575276, 92.6422868987, 8.4360632253
-198.8765227565, -0.0310547830, 93.5750757499, 8.4390738053
-199.3752021301, -0.0052241746, 94.5271903741, 8.4376456912
-199.9191855884, 0.0040295647, 95.5144896271, 8.4362485708
-198.9102417283, -0.0065381379, 96.5007378995, 8.4385879001
-199.3225580984, -0.0240505388, 97.0659218222, 8.4369146429
-200.5477790001, -0.0287142037, 97.8722945444, 8.4335747367
-201.0240878563, -0.0557347839, 98.6186195379, 8.4318304566
-201.1443120654, -0.0407217738, 99.3870892697, 8.4306562984
-200.3022297771, 0.0174002323, 100.3057242170, 8.4323604228
-200.9339967761, -0.0482271193, 101.0271216960, 8.4305801340
-202.4449838100, -0.0081810884, 101.6378494847, 8.4259155403
-201.6806125717, -0.0311834487, 102.2235828245, 8.4272242457
-200.5072715925, -0.0380595502, 103.1346522428, 8.4298473566
-199.2792315158, -0.0343803970, 104.0651013145, 8.4325456206
